image_0,彼らの芸歴は30年より,短い,長い
image_0,年上なのは,岡村,矢部
image_2,彼らの芸歴は30年より,長い,短い
image_2,年上なのは,石橋,木梨
image_1,彼らの芸歴は20年より,長い,短い
image_1,年上なのは,藤本,原西
image_3,彼らの芸歴は20年より,短い,長い
image_3,年上なのは,上田,有田
image_4,彼らの芸歴は20年より,長い,短い
image_4,年上なのは,ウド鈴木,天野
image_5,このコンビ名は,髭男爵,髭公爵
image_5,左の人の名前は,ひぐち君,さかぐち君
image_5,右の人の名前は,山田ルイ53世,山田ルイ52世
image_6,結成当初のロンドンブーツ1号2号の1号は,亮,淳
image_6,大阪出身なのは,亮,淳
image_7,右の人の名前は,平畠,榊原
image_7,2001年M-1グランプリ,9位,10位
image_8,このコンビの結成は時期は,2000年,2001年
image_8,埼玉出身なのは,春日,若林
image_8,2008年M-1グランプリ,2位,3位
image_9,2010年M-1グランプリ,4位,3位
image_9,大阪出身なのは,又吉,綾部
image_9,所属事務所は,よしもと,松竹
image_10,2人の出身は,岡山,広島
image_10,元々の名前は,次長課長社長,次長課長部長
image_10,もともとホストだったのは,河本,井上
image_10,河本は,左,右
image_11,所属事務所は,よしもと,松竹
image_11,2008年M-1グランプリ,優勝,準優勝
image_11,2009年M-1グランプリ,3位,4位
